,char,unicode
0,I,0x49
1,I,0x49
2,I,0x49
3,I,0x49
4,I,0x49
5,I,0x49
6,I,0x49
7,I,0x49
8,I,0x49
9,I,0x49
10,I,0x49
11,I,0x49
12,I,0x49
13,I,0x49
14,I,0x49
15,I,0x49
16,I,0x49
17,I,0x49
18,I,0x49
19,I,0x49
20,I,0x49
21,I,0x49
22,I,0x49
23,I,0x49
24,I,0x49
25,I,0x49
26,I,0x49
27,I,0x49
28,I,0x49
29,I,0x49
30,I,0x49
31,I,0x49
32,I,0x49
33,I,0x49
34,I,0x49
35,I,0x49
36,I,0x49
37,I,0x49
38,I,0x49
39,I,0x49
40,I,0x49
41,I,0x49
42,I,0x49
43,I,0x49
44,I,0x49
45,I,0x49
46,I,0x49
47,I,0x49
48,I,0x49
49,I,0x49
50,I,0x49
51,I,0x49
52,I,0x49
53,I,0x49
54,I,0x49
55,I,0x49
56,I,0x49
57,I,0x49
58,I,0x49
59,I,0x49
60,I,0x49
61,I,0x49
62,I,0x49
63,I,0x49
64,I,0x49
65,I,0x49
66,I,0x49
67,I,0x49
68,I,0x49
69,I,0x49
70,I,0x49
71,I,0x49
72,I,0x49
73,I,0x49
74,I,0x49
75,I,0x49
76,I,0x49
77,I,0x49
78,I,0x49
79,I,0x49
80,I,0x49
81,I,0x49
82,I,0x49
83,I,0x49
84,I,0x49
85,I,0x49
86,I,0x49
87,I,0x49
88,I,0x49
89,I,0x49
90,I,0x49
91,I,0x49
92,I,0x49
93,I,0x49
94,I,0x49
95,I,0x49
96,I,0x49
97,I,0x49
98,I,0x49
99,I,0x49
100,I,0x49
101,I,0x49
102,I,0x49
103,I,0x49
104,I,0x49
105,I,0x49
106,I,0x49
107,I,0x49
108,I,0x49
109,I,0x49
110,I,0x49
111,I,0x49
112,I,0x49
113,I,0x49
114,I,0x49
115,I,0x49
116,I,0x49
117,I,0x49
118,I,0x49
119,I,0x49
120,I,0x49
121,I,0x49
122,I,0x49
123,I,0x49
124,I,0x49
125,I,0x49
126,I,0x49
127,I,0x49
128,I,0x49
129,I,0x49
130,I,0x49
131,I,0x49
132,I,0x49
133,I,0x49
134,I,0x49
135,I,0x49
136,I,0x49
137,I,0x49
138,I,0x49
139,I,0x49
140,I,0x49
141,I,0x49
142,I,0x49
143,I,0x49
144,I,0x49
145,I,0x49
146,I,0x49
147,I,0x49
148,I,0x49
149,I,0x49
150,I,0x49
151,I,0x49
152,I,0x49
153,I,0x49
154,I,0x49
155,I,0x49
156,I,0x49
157,I,0x49
158,I,0x49
159,I,0x49
160,I,0x49
161,I,0x49
162,I,0x49
163,I,0x49
164,I,0x49
165,I,0x49
166,I,0x49
167,I,0x49
168,I,0x49
169,I,0x49
170,I,0x49
171,I,0x49
172,I,0x49
173,I,0x49
174,I,0x49
175,I,0x49
176,I,0x49
177,I,0x49
178,I,0x49
179,I,0x49
180,I,0x49
181,I,0x49
182,I,0x49
183,I,0x49
184,I,0x49
185,I,0x49
186,I,0x49
187,I,0x49
188,I,0x49
189,I,0x49
190,I,0x49
191,I,0x49
192,I,0x49
193,I,0x49
194,I,0x49
195,I,0x49
196,I,0x49
197,I,0x49
198,I,0x49
199,I,0x49
200,I,0x49
201,I,0x49
202,I,0x49
203,I,0x49
204,I,0x49
205,I,0x49
206,I,0x49
207,I,0x49
208,I,0x49
209,I,0x49
210,I,0x49
211,I,0x49
212,I,0x49
213,I,0x49
214,I,0x49
215,I,0x49
216,I,0x49
217,I,0x49
218,I,0x49
219,I,0x49
220,I,0x49
221,I,0x49
222,I,0x49
223,I,0x49
224,I,0x49
225,I,0x49
226,I,0x49
227,I,0x49
228,I,0x49
229,I,0x49
230,I,0x49
231,I,0x49
232,I,0x49
233,I,0x49
234,I,0x49
235,I,0x49
236,I,0x49
237,I,0x49
238,I,0x49
239,I,0x49
240,I,0x49
241,I,0x49
242,I,0x49
243,I,0x49
244,I,0x49
245,I,0x49
246,I,0x49
247,I,0x49
248,I,0x49
249,I,0x49
250,I,0x49
251,I,0x49
252,I,0x49
253,I,0x49
254,I,0x49
255,I,0x49
256,I,0x49
257,I,0x49
258,I,0x49
259,I,0x49
260,I,0x49
261,I,0x49
262,I,0x49
263,I,0x49
264,I,0x49
265,I,0x49
266,I,0x49
267,I,0x49
268,I,0x49
269,I,0x49
270,I,0x49
271,I,0x49
272,I,0x49
273,I,0x49
274,I,0x49
275,I,0x49
276,I,0x49
277,I,0x49
278,I,0x49
279,I,0x49
280,I,0x49
281,I,0x49
282,I,0x49
283,I,0x49
284,I,0x49
285,I,0x49
286,I,0x49
287,I,0x49
288,I,0x49
289,I,0x49
290,I,0x49
291,I,0x49
292,I,0x49
293,I,0x49
294,I,0x49
295,I,0x49
296,I,0x49
297,I,0x49
298,I,0x49
299,I,0x49
300,I,0x49
301,I,0x49
302,I,0x49
303,I,0x49
304,I,0x49
305,I,0x49
306,I,0x49
307,I,0x49
308,I,0x49
309,I,0x49
310,I,0x49
311,I,0x49
312,I,0x49
313,I,0x49
314,I,0x49
315,I,0x49
316,I,0x49
317,I,0x49
318,I,0x49
319,I,0x49
320,I,0x49
321,I,0x49
322,I,0x49
323,I,0x49
324,I,0x49
325,I,0x49
326,I,0x49
327,I,0x49
328,I,0x49
329,I,0x49
330,I,0x49
331,I,0x49
332,I,0x49
333,I,0x49
334,I,0x49
335,I,0x49
336,I,0x49
337,I,0x49
338,I,0x49
339,I,0x49
340,I,0x49
341,I,0x49
342,I,0x49
343,I,0x49
344,I,0x49
345,I,0x49
346,I,0x49
347,I,0x49
348,I,0x49
349,I,0x49
350,I,0x49
351,I,0x49
352,I,0x49
353,I,0x49
354,I,0x49
355,I,0x49
356,I,0x49
357,I,0x49
358,I,0x49
359,I,0x49
360,I,0x49
361,I,0x49
362,I,0x49
363,I,0x49
364,I,0x49
365,I,0x49
366,I,0x49
367,I,0x49
368,I,0x49
369,I,0x49
370,I,0x49
371,I,0x49
372,I,0x49
373,I,0x49
374,I,0x49
375,I,0x49
376,I,0x49
377,I,0x49
378,I,0x49
379,I,0x49
380,I,0x49
381,I,0x49
382,I,0x49
383,I,0x49
384,I,0x49
385,I,0x49
386,I,0x49
387,I,0x49
388,I,0x49
389,I,0x49
390,I,0x49
391,I,0x49
392,I,0x49
393,I,0x49
394,I,0x49
395,I,0x49
396,I,0x49
397,I,0x49
398,I,0x49
399,I,0x49
400,I,0x49
401,I,0x49
402,I,0x49
403,I,0x49
404,I,0x49
405,I,0x49
406,I,0x49
407,I,0x49
408,I,0x49
409,I,0x49
410,I,0x49
411,I,0x49
412,I,0x49
413,I,0x49
414,I,0x49
415,I,0x49
416,I,0x49
417,I,0x49
418,I,0x49
419,I,0x49
420,I,0x49
421,I,0x49
422,I,0x49
423,I,0x49
424,I,0x49
425,I,0x49
426,I,0x49
427,I,0x49
428,I,0x49
429,I,0x49
430,I,0x49
431,I,0x49
432,I,0x49
433,I,0x49
434,I,0x49
435,I,0x49
436,I,0x49
437,I,0x49
438,I,0x49
439,I,0x49
440,I,0x49
441,I,0x49
442,I,0x49
443,I,0x49
444,I,0x49
445,I,0x49
446,I,0x49
447,I,0x49
448,I,0x49
449,I,0x49
450,I,0x49
451,I,0x49
452,I,0x49
453,I,0x49
454,I,0x49
455,I,0x49
456,I,0x49
457,I,0x49
458,I,0x49
459,I,0x49
460,I,0x49
461,I,0x49
462,I,0x49
463,I,0x49
464,I,0x49
465,I,0x49
466,I,0x49
467,I,0x49
468,I,0x49
469,I,0x49
470,I,0x49
471,I,0x49
472,I,0x49
473,I,0x49
474,I,0x49
475,I,0x49
476,I,0x49
477,I,0x49
478,I,0x49
479,I,0x49
480,I,0x49
481,I,0x49
482,I,0x49
483,I,0x49
484,I,0x49
485,I,0x49
486,I,0x49
487,I,0x49
488,I,0x49
489,I,0x49
490,I,0x49
491,I,0x49
492,I,0x49
493,I,0x49
494,I,0x49
495,I,0x49
496,I,0x49
497,I,0x49
498,I,0x49
499,I,0x49
500,I,0x49
501,I,0x49
502,I,0x49
503,I,0x49
504,I,0x49
505,I,0x49
506,I,0x49
507,I,0x49
508,I,0x49
509,I,0x49
510,I,0x49
511,I,0x49
512,I,0x49
513,I,0x49
514,I,0x49
515,I,0x49
516,I,0x49
517,I,0x49
518,I,0x49
519,I,0x49
520,I,0x49
521,I,0x49
522,I,0x49
523,I,0x49
524,I,0x49
525,I,0x49
526,I,0x49
527,I,0x49
528,I,0x49
529,I,0x49
530,I,0x49
531,I,0x49
532,I,0x49
533,I,0x49
534,I,0x49
535,I,0x49
536,I,0x49
537,I,0x49
538,I,0x49
539,I,0x49
540,I,0x49
541,I,0x49
542,I,0x49
543,I,0x49
544,I,0x49
545,I,0x49
546,I,0x49
547,I,0x49
548,I,0x49
549,I,0x49
550,I,0x49
551,I,0x49
552,I,0x49
553,I,0x49
554,I,0x49
555,I,0x49
556,I,0x49
557,I,0x49
558,I,0x49
559,I,0x49
560,I,0x49
561,I,0x49
562,I,0x49
563,I,0x49
564,I,0x49
565,I,0x49
566,I,0x49
567,I,0x49
568,I,0x49
569,I,0x49
570,I,0x49
571,I,0x49
572,I,0x49
573,I,0x49
574,I,0x49
575,I,0x49
576,I,0x49
577,I,0x49
578,I,0x49
579,I,0x49
580,I,0x49
581,I,0x49
582,I,0x49
583,I,0x49
584,I,0x49
585,I,0x49
586,I,0x49
587,I,0x49
588,I,0x49
589,I,0x49
590,I,0x49
591,I,0x49
592,I,0x49
593,I,0x49
594,I,0x49
595,I,0x49
596,I,0x49
597,I,0x49
598,I,0x49
599,I,0x49
600,I,0x49
601,I,0x49
602,I,0x49
603,I,0x49
604,I,0x49
605,I,0x49
606,I,0x49
607,I,0x49
608,I,0x49
609,I,0x49
610,I,0x49
611,I,0x49
612,I,0x49
613,I,0x49
614,I,0x49
615,I,0x49
616,I,0x49
617,I,0x49
618,I,0x49
619,I,0x49
620,I,0x49
621,I,0x49
622,I,0x49
623,I,0x49
624,I,0x49
625,I,0x49
626,I,0x49
627,I,0x49
628,I,0x49
629,I,0x49
630,I,0x49
631,I,0x49
632,I,0x49
633,I,0x49
634,I,0x49
635,I,0x49
636,I,0x49
637,I,0x49
638,I,0x49
639,I,0x49
640,I,0x49
641,I,0x49
642,I,0x49
643,I,0x49
644,I,0x49
645,I,0x49
646,I,0x49
647,I,0x49
648,I,0x49
649,I,0x49
650,I,0x49
651,I,0x49
652,I,0x49
653,I,0x49
654,I,0x49
655,I,0x49
656,I,0x49
657,I,0x49
658,I,0x49
659,I,0x49
660,I,0x49
661,I,0x49
662,I,0x49
663,I,0x49
664,I,0x49
665,I,0x49
666,I,0x49
667,I,0x49
668,I,0x49
669,I,0x49
670,I,0x49
671,I,0x49
672,I,0x49
673,I,0x49
674,I,0x49
675,I,0x49
676,I,0x49
677,I,0x49
678,I,0x49
679,I,0x49
680,I,0x49
681,I,0x49
682,I,0x49
683,I,0x49
684,I,0x49
685,I,0x49
686,I,0x49
687,I,0x49
688,I,0x49
689,I,0x49
690,I,0x49
691,I,0x49
692,I,0x49
693,I,0x49
694,I,0x49
695,I,0x49
696,I,0x49
697,I,0x49
698,I,0x49
699,I,0x49
700,I,0x49
701,I,0x49
702,I,0x49
703,I,0x49
704,I,0x49
705,I,0x49
706,I,0x49
707,I,0x49
708,I,0x49
709,I,0x49
710,I,0x49
711,I,0x49
712,I,0x49
713,I,0x49
714,I,0x49
715,I,0x49
716,I,0x49
717,I,0x49
718,I,0x49
719,I,0x49
720,I,0x49
721,I,0x49
722,I,0x49
723,I,0x49
724,I,0x49
725,I,0x49
726,I,0x49
