,char,unicode
0,ア,0x30a2
1,ア,0x30a2
2,ア,0x30a2
3,ア,0x30a2
4,ア,0x30a2
5,ア,0x30a2
6,ア,0x30a2
7,ア,0x30a2
8,ア,0x30a2
9,ア,0x30a2
10,ア,0x30a2
11,ア,0x30a2
12,ア,0x30a2
13,ア,0x30a2
14,ア,0x30a2
15,ア,0x30a2
16,ア,0x30a2
17,ア,0x30a2
18,ア,0x30a2
19,ア,0x30a2
20,ア,0x30a2
21,ア,0x30a2
22,ア,0x30a2
23,ア,0x30a2
24,ア,0x30a2
25,ア,0x30a2
26,ア,0x30a2
27,ア,0x30a2
28,ア,0x30a2
29,ア,0x30a2
30,ア,0x30a2
31,ア,0x30a2
32,ア,0x30a2
33,ア,0x30a2
34,ア,0x30a2
35,ア,0x30a2
36,ア,0x30a2
37,ア,0x30a2
38,ア,0x30a2
39,ア,0x30a2
40,ア,0x30a2
41,ア,0x30a2
42,ア,0x30a2
43,ア,0x30a2
44,ア,0x30a2
45,ア,0x30a2
46,ア,0x30a2
47,ア,0x30a2
48,ア,0x30a2
49,ア,0x30a2
50,ア,0x30a2
51,ア,0x30a2
52,ア,0x30a2
53,ア,0x30a2
54,ア,0x30a2
55,ア,0x30a2
56,ア,0x30a2
57,ア,0x30a2
58,ア,0x30a2
59,ア,0x30a2
60,ア,0x30a2
61,ア,0x30a2
62,ア,0x30a2
63,ア,0x30a2
64,ア,0x30a2
65,ア,0x30a2
66,ア,0x30a2
67,ア,0x30a2
68,ア,0x30a2
69,ア,0x30a2
70,ア,0x30a2
71,ア,0x30a2
72,ア,0x30a2
73,ア,0x30a2
74,ア,0x30a2
75,ア,0x30a2
76,ア,0x30a2
77,ア,0x30a2
78,ア,0x30a2
79,ア,0x30a2
80,ア,0x30a2
81,ア,0x30a2
82,ア,0x30a2
83,ア,0x30a2
84,ア,0x30a2
85,ア,0x30a2
86,ア,0x30a2
87,ア,0x30a2
88,ア,0x30a2
89,ア,0x30a2
90,ア,0x30a2
91,ア,0x30a2
92,ア,0x30a2
93,ア,0x30a2
94,ア,0x30a2
95,ア,0x30a2
96,ア,0x30a2
97,ア,0x30a2
98,ア,0x30a2
99,ア,0x30a2
100,ア,0x30a2
101,ア,0x30a2
102,ア,0x30a2
103,ア,0x30a2
104,ア,0x30a2
105,ア,0x30a2
106,ア,0x30a2
107,ア,0x30a2
108,ア,0x30a2
109,ア,0x30a2
110,ア,0x30a2
111,ア,0x30a2
112,ア,0x30a2
113,ア,0x30a2
114,ア,0x30a2
115,ア,0x30a2
116,ア,0x30a2
117,ア,0x30a2
118,ア,0x30a2
119,ア,0x30a2
120,ア,0x30a2
121,ア,0x30a2
122,ア,0x30a2
123,ア,0x30a2
124,ア,0x30a2
125,ア,0x30a2
126,ア,0x30a2
127,ア,0x30a2
128,ア,0x30a2
129,ア,0x30a2
130,ア,0x30a2
131,ア,0x30a2
132,ア,0x30a2
133,ア,0x30a2
134,ア,0x30a2
135,ア,0x30a2
136,ア,0x30a2
137,ア,0x30a2
138,ア,0x30a2
139,ア,0x30a2
140,ア,0x30a2
141,ア,0x30a2
142,ア,0x30a2
143,ア,0x30a2
144,ア,0x30a2
145,ア,0x30a2
146,ア,0x30a2
147,ア,0x30a2
148,ア,0x30a2
149,ア,0x30a2
150,イ,0x30a4
151,イ,0x30a4
152,イ,0x30a4
153,イ,0x30a4
154,イ,0x30a4
155,イ,0x30a4
156,イ,0x30a4
157,イ,0x30a4
158,イ,0x30a4
159,イ,0x30a4
160,イ,0x30a4
161,イ,0x30a4
162,イ,0x30a4
163,イ,0x30a4
164,イ,0x30a4
165,イ,0x30a4
166,イ,0x30a4
167,イ,0x30a4
168,イ,0x30a4
169,イ,0x30a4
170,イ,0x30a4
