,char,unicode
0,あ,0x3042
1,い,0x3044
2,う,0x3046
3,え,0x3048
4,お,0x304a
5,か,0x304b
6,が,0x304c
7,き,0x304d
8,ぎ,0x304e
9,く,0x304f
10,ぐ,0x3050
11,け,0x3051
12,げ,0x3052
13,こ,0x3053
14,ご,0x3054
15,さ,0x3055
16,ざ,0x3056
17,し,0x3057
18,じ,0x3058
19,す,0x3059
20,ず,0x305a
21,せ,0x305b
22,ぜ,0x305c
23,そ,0x305d
24,ぞ,0x305e
25,た,0x305f
26,だ,0x3060
27,ち,0x3061
28,ぢ,0x3062
29,つ,0x3064
30,づ,0x3065
31,て,0x3066
32,で,0x3067
33,と,0x3068
34,ど,0x3069
35,な,0x306a
36,に,0x306b
37,ぬ,0x306c
38,ね,0x306d
39,の,0x306e
40,は,0x306f
41,ば,0x3070
42,ぱ,0x3071
43,ひ,0x3072
44,び,0x3073
45,ぴ,0x3074
46,ふ,0x3075
47,ぶ,0x3076
48,ぷ,0x3077
49,へ,0x3078
50,べ,0x3079
51,ぺ,0x307a
52,ほ,0x307b
53,ぼ,0x307c
54,ぽ,0x307d
55,ま,0x307e
56,み,0x307f
57,む,0x3080
58,め,0x3081
59,も,0x3082
60,や,0x3084
61,ゆ,0x3086
62,よ,0x3088
63,ら,0x3089
64,り,0x308a
65,る,0x308b
66,れ,0x308c
67,ろ,0x308d
68,わ,0x308f
69,を,0x3092
70,ん,0x3093
71,亜,0x4e9c
72,唖,0x5516
73,娃,0x5a03
74,阿,0x963f
75,哀,0x54c0
76,愛,0x611b
77,挨,0x6328
78,姶,0x59f6
79,逢,0x9022
80,葵,0x8475
81,茜,0x831c
82,穐,0x7a50
83,悪,0x60aa
84,握,0x63e1
85,渥,0x6e25
86,旭,0x65ed
87,葦,0x8466
88,芦,0x82a6
89,鯵,0x9bf5
90,梓,0x6893
91,圧,0x5727
92,斡,0x65a1
93,扱,0x6271
94,宛,0x5b9b
95,姐,0x59d0
96,虻,0x867b
97,飴,0x98f4
98,絢,0x7d62
99,綾,0x7dbe
100,鮎,0x9b8e
101,或,0x6216
102,粟,0x7c9f
103,袷,0x88b7
104,安,0x5b89
105,庵,0x5eb5
106,按,0x6309
107,暗,0x6697
108,案,0x6848
109,闇,0x95c7
110,鞍,0x978d
111,杏,0x674f
112,以,0x4ee5
113,伊,0x4f0a
114,位,0x4f4d
115,依,0x4f9d
116,偉,0x5049
117,囲,0x56f2
118,夷,0x5937
119,委,0x59d4
120,威,0x5a01
121,尉,0x5c09
122,惟,0x60df
123,意,0x610f
124,慰,0x6170
125,易,0x6613
126,椅,0x6905
127,為,0x70ba
128,畏,0x754f
129,異,0x7570
130,移,0x79fb
131,維,0x7dad
132,緯,0x7def
133,胃,0x80c3
134,萎,0x840e
135,衣,0x8863
136,謂,0x8b02
137,違,0x9055
138,遺,0x907a
139,医,0x533b
140,井,0x4e95
141,亥,0x4ea5
142,域,0x57df
143,育,0x80b2
144,郁,0x90c1
145,磯,0x78ef
146,一,0x4e00
147,壱,0x58f1
148,溢,0x6ea2
149,逸,0x9038
150,稲,0x7a32
151,茨,0x8328
152,芋,0x828b
153,鰯,0x9c2f
154,允,0x5141
155,印,0x5370
156,咽,0x54bd
157,員,0x54e1
158,因,0x56e0
159,姻,0x59fb
160,引,0x5f15
161,飲,0x98f2
162,淫,0x6deb
163,胤,0x80e4
164,蔭,0x852d
165,院,0x9662
166,陰,0x9670
167,隠,0x96a0
168,韻,0x97fb
169,吋,0x540b
170,右,0x53f3
171,宇,0x5b87
172,烏,0x70cf
173,羽,0x7fbd
174,迂,0x8fc2
175,雨,0x96e8
176,卯,0x536f
177,鵜,0x9d5c
178,窺,0x7aba
179,丑,0x4e11
180,碓,0x7893
181,臼,0x81fc
182,渦,0x6e26
183,嘘,0x5618
184,唄,0x5504
185,欝,0x6b1d
186,蔚,0x851a
187,鰻,0x9c3b
188,姥,0x59e5
189,厩,0x53a9
190,浦,0x6d66
191,瓜,0x74dc
192,閏,0x958f
193,噂,0x5642
194,云,0x4e91
195,運,0x904b
196,雲,0x96f2
197,荏,0x834f
198,餌,0x990c
199,叡,0x53e1
200,営,0x55b6
201,嬰,0x5b30
202,影,0x5f71
203,映,0x6620
204,曳,0x66f3
205,栄,0x6804
206,永,0x6c38
207,泳,0x6cf3
208,洩,0x6d29
209,瑛,0x745b
210,盈,0x76c8
211,穎,0x7a4e
212,頴,0x9834
213,英,0x82f1
214,衛,0x885b
215,詠,0x8a60
216,鋭,0x92ed
217,液,0x6db2
218,疫,0x75ab
219,益,0x76ca
220,駅,0x99c5
221,悦,0x60a6
222,謁,0x8b01
223,越,0x8d8a
224,閲,0x95b2
225,榎,0x698e
226,厭,0x53ad
227,円,0x5186
228,園,0x5712
229,堰,0x5830
230,奄,0x5944
231,宴,0x5bb4
232,延,0x5ef6
233,怨,0x6028
234,掩,0x63a9
235,援,0x63f4
236,沿,0x6cbf
237,演,0x6f14
238,炎,0x708e
239,焔,0x7114
240,煙,0x7159
241,燕,0x71d5
242,猿,0x733f
243,縁,0x7e01
244,艶,0x8276
245,苑,0x82d1
246,薗,0x8597
247,遠,0x9060
248,鉛,0x925b
249,鴛,0x9d1b
250,塩,0x5869
251,於,0x65bc
252,汚,0x6c5a
253,甥,0x7525
254,凹,0x51f9
255,央,0x592e
256,奥,0x5965
257,往,0x5f80
258,応,0x5fdc
259,押,0x62bc
260,旺,0x65fa
261,横,0x6a2a
262,欧,0x6b27
263,殴,0x6bb4
264,王,0x738b
265,翁,0x7fc1
266,襖,0x8956
267,鴬,0x9d2c
268,鴎,0x9d0e
269,黄,0x9ec4
270,岡,0x5ca1
271,沖,0x6c96
272,荻,0x837b
273,億,0x5104
274,屋,0x5c4b
275,憶,0x61b6
276,臆,0x81c6
277,桶,0x6876
278,牡,0x7261
279,乙,0x4e59
280,俺,0x4ffa
281,卸,0x5378
282,恩,0x6069
283,温,0x6e29
284,穏,0x7a4f
285,音,0x97f3
286,下,0x4e0b
287,化,0x5316
288,仮,0x4eee
289,何,0x4f55
290,伽,0x4f3d
291,価,0x4fa1
292,佳,0x4f73
293,加,0x52a0
294,可,0x53ef
295,嘉,0x5609
296,夏,0x590f
297,嫁,0x5ac1
298,家,0x5bb6
299,寡,0x5be1
300,科,0x79d1
301,暇,0x6687
302,果,0x679c
303,架,0x67b6
304,歌,0x6b4c
305,河,0x6cb3
306,火,0x706b
307,珂,0x73c2
308,禍,0x798d
309,禾,0x79be
310,稼,0x7a3c
311,箇,0x7b87
312,花,0x82b1
313,苛,0x82db
314,茄,0x8304
315,荷,0x8377
316,華,0x83ef
317,菓,0x83d3
318,蝦,0x8766
319,課,0x8ab2
320,嘩,0x5629
321,貨,0x8ca8
322,迦,0x8fe6
323,過,0x904e
324,霞,0x971e
325,蚊,0x868a
326,俄,0x4fc4
327,峨,0x5ce8
328,我,0x6211
329,牙,0x7259
330,画,0x753b
331,臥,0x81e5
332,芽,0x82bd
333,蛾,0x86fe
334,賀,0x8cc0
335,雅,0x96c5
336,餓,0x9913
337,駕,0x99d5
338,介,0x4ecb
339,会,0x4f1a
340,解,0x89e3
341,回,0x56de
342,塊,0x584a
343,壊,0x58ca
344,廻,0x5efb
345,快,0x5feb
346,怪,0x602a
347,悔,0x6094
348,恢,0x6062
349,懐,0x61d0
350,戒,0x6212
351,拐,0x62d0
352,改,0x6539
